feature,importance_gain,lgbm_rank,mutual_info,mi_rank,target_corr,corr_rank,avg_rank
Credit_Spreads_zscore_12m_mean_mom_change,20001037.797851562,32,0.012618827557935308,505,0.12559982672251968,266,267.6666666666667
CB_Consumer_Confidence_yoy_change,286214.6962890625,235,0.03838389361872796,236,0.11238627146842346,334,268.3333333333333
SP500_30d_return_mom_change,78981.796875,382,0.019417747591572443,402,0.35951011944160005,21,268.3333333333333
emp_sa_private_services_information_nsa_latest,68553.201171875,402,0.0342795972058858,261,0.1585835229281329,152,271.6666666666667
VIX_30d_spike_mom_change,11979202.6015625,48,0.010296691236806765,534,0.1332093233436924,243,275.0
Financial_Stress_monthly_avg_mom_change,12413178.599609375,45,0.0010091156239258048,706,0.20507171279013464,80,277.0
emp_sa_private_services_other_personal_nsa_rolling_3m,107060.0,346,0.21614610717656513,68,0.0991786674027581,423,279.0
emp_sa_private_services_information_nsa_volatility,2337733.0,100,0.03240849439197735,272,0.09368876889059662,465,279.0
SP500_zscore_3m_max_6m_change,13194800.0,41,0.018792130408630925,409,0.10492611952413482,388,279.3333333333333
SP500_30d_return_lag2,273529.0,239,0.0211380439571065,377,0.13777765752591148,222,279.3333333333333
SP500_volatility_latest,691554.0,151,0.018526908403640796,413,0.12343178078346476,277,280.3333333333333
Oil_Prices_zscore_3m_max_rolling_mean_3,771835.0,144,0.006168109248800846,596,0.19017705802710355,103,281.0
Oil_Prices_zscore_12m_min_6m_change,538264.90234375,175,0.01000473026086901,537,0.17154136773623657,131,281.0
NOAA_Economic_Damage_Index_trend_12m,77663.796875,384,0.06473933047964042,159,0.11756233959943539,305,282.6666666666667
emp_sa_private_goods_mining_logging_nsa_volatility,441433.798828125,192,0.014637686641258085,469,0.14796459024852598,189,283.3333333333333
NOAA_Human_Impact_Index_mom_change,173641.400390625,284,0.11267669183641615,120,0.09621552907294566,447,283.6666666666667
SP500_worst_day_rolling_mean_3,404823.0,197,0.008274791732717723,566,0.19839476781809112,92,285.0
linear_baseline_pred,2558796.2900390625,96,0.030071886478838294,291,0.09337975550927205,469,285.3333333333333
CCSA_MoM_Pct_rolling_mean_24,7066568.80078125,74,0.06677700136768605,156,0.07285592324321088,630,286.6666666666667
Oil_Prices_volatility_mom_change,544589.09375,174,0.011747661896197137,515,0.15212700554071645,171,286.6666666666667
emp_sa_government_federal_nsa_latest,118874.0,329,0.11945033209529754,117,0.10064543905422481,415,287.0
Oil_Prices_30d_crash_rolling_mean_3,285825.0,236,0.013712376976322993,488,0.1643463075725768,142,288.6666666666667
Credit_Spreads_accel_volatility_latest,465629.0,188,0.02052763547344183,391,0.12108634880042614,289,289.3333333333333
AWH_Manufacturing_volatility_6m,1168186.796875,124,0.018702398757298955,410,0.11171862590816817,338,290.6666666666667
SP500_max_5d_drop_mom_change,177257.0,283,0.008349133433481981,563,0.2992502553343457,26,290.6666666666667
VIX_30d_spike_rolling_mean_6,116867.3603515625,333,0.03787749743810487,238,0.11726709520560426,309,293.3333333333333
ADP_actual_2yr_change,39229.3984375,454,0.036833896354503626,245,0.148948790472624,184,294.3333333333333
emp_sa_private_goods_construction_heavy_civil_nsa_6m_chg,29201.400390625,479,0.2525468258915886,55,0.10976949331210256,353,295.6666666666667
emp_sa_private_services_nsa_latest,426506.0,194,0.22694584144527186,66,0.07294759110907166,629,296.3333333333333
emp_sa_private_services_information_motion_picture_nsa_rolling_3m,25359.80078125,485,0.03704547914176093,244,0.15492330875572477,160,296.3333333333333
