ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2023-04-01,820.0,555.7996543029471,264.20034569705285,532.4905999249929,917.5148410323386,444.07753684461954,1174.7454869518838,355.4920458761767,1304.8483496952608,True,True,True,397,62
2023-05-01,969.0,623.7804208787035,345.21957912129653,615.7103816604732,982.8913017656763,536.3190809035472,1242.3026763222804,466.0324809409924,1376.6062940110755,True,True,True,398,62
2023-06-01,657.0,496.6169224800954,160.3830775199046,489.58943396285525,879.1358657942324,408.84250303614914,1138.3538496940362,308.25285060223695,1310.87440437948,True,True,True,399,62
2023-07-01,-837.0,-816.6122894870339,-20.387710512966123,-832.0385201233398,-431.3158381334125,-881.0457290414249,-174.87536227309306,-1004.9763613648923,-2.3548075876493613,False,True,True,400,62
2023-08-01,176.0,135.4890370287322,40.51096297126779,120.06280639242632,529.1055698073073,39.923626490065885,760.5205581951292,2.9741847421401246,918.6501645936501,True,True,True,401,62
2023-09-01,699.0,393.62131849428346,305.37868150571654,379.9926549170803,760.215749122768,315.315382767172,987.6467162408662,260.2967286687858,1162.88172843386,True,True,True,402,64
2023-10-01,983.0,645.8378590254805,337.1621409745195,644.8254364518459,1012.432289653965,567.5319232983691,1230.710973363191,329.15587488294125,1400.5565958147333,True,True,True,403,64
2023-11-01,477.0,371.3591995830969,105.64080041690312,380.4425067071394,717.1084045228376,251.80186129347032,900.3416194872252,41.17690903258409,1067.8043477025822,True,True,True,404,64
2023-12-01,-233.0,-70.84104502720541,-162.1589549727946,-58.60449605661443,264.54085615672,-190.01085597034813,443.56056301027127,-468.4887193471591,516.1889506840458,False,False,True,405,64
2024-01-01,-2602.0,-2118.2901008735917,-483.70989912640835,-2105.2213554873965,-1810.0796293923436,-2280.7125547110018,-1637.4663529367265,-2539.4411736744128,-1549.9391232226303,False,False,False,406,64
2024-02-01,929.0,676.9023008881322,252.09769911186777,679.3863579170007,960.4739538331428,467.2768157716198,1093.5629995276859,255.751228087311,1245.2532785390936,True,True,True,407,64
2024-03-01,663.0,569.5520292655552,93.44797073444477,530.889262879455,828.7317530531009,348.7425561499716,915.2563010804913,170.27679686838553,1054.4326547697794,True,True,True,408,63
2024-04-01,798.0,833.0722548734336,-35.07225487343362,745.5244799021843,1042.3214577371605,559.412102307394,1127.1649302303688,427.03348703536733,1203.9181522393362,True,True,True,409,63
2024-05-01,902.0,488.25310704867445,413.74689295132555,401.73647547174687,697.5023099124012,153.56819994474841,781.3567089547614,0.5322130781513579,850.6289894669317,False,False,False,410,63
2024-06-01,474.0,517.2637982922696,-43.2637982922696,494.3591450707906,725.769176496255,171.8013673470333,820.492500910946,-71.71693361420421,922.9530077823076,False,True,True,411,63
2024-07-01,-947.0,-1129.042854727987,182.0428547279871,-1198.47965964361,-927.9186896278364,-1462.2231987321986,-858.7325918225938,-1718.023586634461,-723.3536452379491,True,True,True,412,63
